,symbol,splits
74,SWN,"[{'ticker': 'SWN', 'exDate': '2008-03-26', 'paymentDate': '2008-03-26', 'ratio': 0.5}, {'ticker': 'SWN', 'exDate': '2005-11-18', 'paymentDate': '2005-11-18', 'ratio': 0.5}, {'ticker': 'SWN', 'exDate': '2005-06-06', 'paymentDate': '2005-06-06', 'ratio': 0.5}]"
75,CCO,[]
76,EVFM,[]
77,LMFA,"[{'ticker': 'LMFA', 'exDate': '2018-10-16', 'paymentDate': '2018-10-16', 'declaredDate': '2018-10-16', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
78,TXMD,"[{'ticker': 'TXMD', 'exDate': '2011-10-02', 'paymentDate': '2011-10-02', 'ratio': 100}, {'ticker': 'TXMD', 'exDate': '2011-09-29', 'paymentDate': '2011-09-29', 'ratio': 100}, {'ticker': 'TXMD', 'exDate': '2009-07-27', 'paymentDate': '2009-07-27', 'ratio': 0.3333333333333333}]"
79,IMMP,[]
80,ACRX,[]
81,ABUS,"[{'ticker': 'ABUS', 'exDate': '2010-11-04', 'paymentDate': '2010-11-04', 'ratio': 5}]"
82,NMTR,[]
83,MUX,[]
84,AESE,[]
85,OXBR,[]
86,GHSI,"[{'ticker': 'GHSI', 'exDate': '2021-03-01', 'paymentDate': '2021-03-01', 'declaredDate': '2021-03-01', 'ratio': 6, 'tofactor': 6, 'forfactor': 1}]"
87,ADMA,[]
88,WATT,[]
89,PLG,"[{'ticker': 'PLG', 'exDate': '2018-12-17', 'paymentDate': '2018-12-17', 'declaredDate': '2018-12-17', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'PLG', 'exDate': '2016-01-28', 'paymentDate': '2016-01-28', 'declaredDate': '2016-01-28', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
90,BEST,[]
91,XELA,"[{'ticker': 'XELA', 'exDate': '2021-01-26', 'paymentDate': '2021-01-26', 'declaredDate': '2021-01-26', 'ratio': 3, 'tofactor': 3, 'forfactor': 1}]"
92,ATOS,"[{'ticker': 'ATOS', 'exDate': '2018-04-20', 'paymentDate': '2018-04-20', 'declaredDate': '2018-04-20', 'ratio': 12, 'tofactor': 12, 'forfactor': 1}, {'ticker': 'ATOS', 'exDate': '2016-08-26', 'paymentDate': '2016-08-26', 'declaredDate': '2016-08-26', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}]"
93,BLRX,"[{'ticker': 'BLRX', 'exDate': '2019-07-15', 'paymentDate': '2019-07-15', 'declaredDate': '2019-07-15', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}]"
94,HMY,[]
95,TBLT,"[{'ticker': 'TBLT', 'exDate': '2020-04-15', 'paymentDate': '2020-04-15', 'declaredDate': '2020-04-15', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
96,NSPR,"[{'ticker': 'NSPR', 'exDate': '2019-04-01', 'paymentDate': '2019-04-01', 'declaredDate': '2019-04-01', 'ratio': 50, 'tofactor': 50, 'forfactor': 1}, {'ticker': 'NSPR', 'exDate': '2018-02-08', 'paymentDate': '2018-02-08', 'declaredDate': '2018-02-08', 'ratio': 35, 'tofactor': 35, 'forfactor': 1}, {'ticker': 'NSPR', 'exDate': '2016-10-10', 'paymentDate': '2016-10-10', 'declaredDate': '2016-10-10', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'NSPR', 'exDate': '2015-10-01', 'paymentDate': '2015-10-01', 'declaredDate': '2015-10-01', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'NSPR', 'exDate': '2012-12-21', 'paymentDate': '2012-12-21', 'ratio': 4}, {'ticker': 'NSPR', 'exDate': '2011-04-12', 'paymentDate': '2011-04-12', 'ratio': 0.3333333333333333}]"
97,ITRM,[]
98,SXTC,"[{'ticker': 'SXTC', 'exDate': '2021-02-22', 'paymentDate': '2021-02-22', 'declaredDate': '2021-02-22', 'ratio': 4, 'tofactor': 4, 'forfactor': 1}]"
99,AEZS,"[{'ticker': 'AEZS', 'exDate': '2015-11-20', 'paymentDate': '2015-11-20', 'declaredDate': '2015-11-20', 'ratio': 100, 'tofactor': 100, 'forfactor': 1}, {'ticker': 'AEZS', 'exDate': '2012-10-05', 'paymentDate': '2012-10-05', 'ratio': 5.9998800023999515}]"
100,INUV,"[{'ticker': 'INUV', 'exDate': '2010-12-13', 'paymentDate': '2010-12-13', 'ratio': 10}]"
101,DNK,[]
102,EARS,"[{'ticker': 'EARS', 'exDate': '2019-05-01', 'paymentDate': '2019-05-01', 'declaredDate': '2019-05-01', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'EARS', 'exDate': '2018-03-14', 'paymentDate': '2018-03-14', 'declaredDate': '2018-03-14', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
103,CLSN,"[{'ticker': 'CLSN', 'exDate': '2017-05-30', 'paymentDate': '2017-05-30', 'declaredDate': '2017-05-30', 'ratio': 14, 'tofactor': 14, 'forfactor': 1}, {'ticker': 'CLSN', 'exDate': '2013-10-29', 'paymentDate': '2013-10-29', 'ratio': 4.5000450004500046}, {'ticker': 'CLSN', 'exDate': '2006-02-28', 'paymentDate': '2006-02-28', 'ratio': 14.999250037498127}]"
104,ATHX,[]
105,PTE,"[{'ticker': 'PTE', 'exDate': '2008-09-17', 'paymentDate': '2008-09-17', 'ratio': 0.1}, {'ticker': 'PTE', 'exDate': '2004-12-31', 'paymentDate': '2004-12-31', 'ratio': 6.999860002799944}, {'ticker': 'PTE', 'exDate': '2002-03-12', 'paymentDate': '2002-03-12', 'ratio': 10}]"
106,PHUN,[]
107,MDGS,"[{'ticker': 'MDGS', 'exDate': '2018-07-16', 'paymentDate': '2018-07-16', 'declaredDate': '2018-07-16', 'ratio': 4, 'tofactor': 4, 'forfactor': 1}, {'ticker': 'MDGS', 'exDate': '2017-03-15', 'paymentDate': '2017-03-15', 'declaredDate': '2017-03-15', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
108,QD,[]
109,LPCN,[]
110,BBI,[]
111,HLX,"[{'ticker': 'HLX', 'exDate': '2005-12-09', 'paymentDate': '2005-12-09', 'ratio': 0.5}, {'ticker': 'HLX', 'exDate': '2000-11-14', 'paymentDate': '2000-11-14', 'ratio': 0.5}]"
112,GRNQ,[]
113,NEOS,[]
114,ISR,[]
115,WORX,[]
116,BRQS,[]
117,DARE,[]
118,NBY,"[{'ticker': 'NBY', 'exDate': '2015-12-21', 'paymentDate': '2015-12-21', 'declaredDate': '2015-12-21', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}]"
119,VSTM,[]
120,VISL,"[{'ticker': 'VISL', 'exDate': '2020-08-03', 'paymentDate': '2020-08-03', 'declaredDate': '2020-08-03', 'ratio': 6, 'tofactor': 6, 'forfactor': 1}, {'ticker': 'VISL', 'exDate': '2019-05-13', 'paymentDate': '2019-05-13', 'declaredDate': '2019-05-13', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'VISL', 'exDate': '2013-04-10', 'paymentDate': '2013-04-10', 'ratio': 35.00175008750438}]"
121,NAOV,[]
122,UXIN,[]
123,SESN,[]
