symbol,sector,industry,trades,p_lvl,adv_lvl
LIVN,Healthcare,Medical Devices,4,3,0
PRK,Financial Services,BanksÑRegional,4,3,0
FWRD,Industrials,Integrated Freight & Logistics,4,3,0
TKR,Industrials,Tools & Accessories,4,3,1
TEL,Technology,Electronic Components,4,3,2
MTRN,Basic Materials,Other Industrial Metals & Mining,4,3,0
CVCO,Consumer Cyclical,Residential Construction,4,4,0
HSKA,Healthcare,Diagnostics & Research,4,4,0
ESGR,Financial Services,InsuranceÑDiversified,4,4,0
RNR,Financial Services,InsuranceÑReinsurance,4,4,0
ICLR,Healthcare,Diagnostics & Research,4,4,0
STRR,Healthcare,Medical Devices,3,0,0
GLT,Basic Materials,Paper & Paper Products,3,1,0
CFACU,Financial Services,Shell Companies,3,1,0
SBFG,Financial Services,BanksÑRegional,3,1,0
TSI,Financial Services,Asset Management,3,1,0
WEA,Financial Services,Asset Management,3,1,0
UNAM,Financial Services,InsuranceÑProperty & Casualty,3,1,0
TMKRU,Financial Services,Shell Companies,3,1,1
CTAQU,Financial Services,Shell Companies,3,1,1
ITAC,Financial Services,Shell Companies,3,1,0
PUYI,Financial Services,Asset Management,3,1,0
RSVAU,Financial Services,Shell Companies,3,1,1
NAC,Financial Services,Asset Management,3,1,0
CLDB,Financial Services,BanksÑRegional,3,1,0
BUR, , ,3,1,0
NMY,Financial Services,Asset Management,3,1,0
CFBK,Financial Services,BanksÑRegional,3,1,0
SVSVU,Financial Services,Shell Companies,3,1,1
GSAQU,Financial Services,Shell Companies,3,1,1
CIVB,Financial Services,BanksÑRegional,3,1,0
PHAR,Healthcare,Biotechnology,3,1,0
TSIAU,Financial Services,Shell Companies,3,1,0
RIVE,Financial Services,BanksÑRegional,3,1,0
FUSB,Financial Services,BanksÑRegional,3,1,0
SFTW,Financial Services,Shell Companies,3,1,0
HSAQ,Financial Services,Shell Companies,3,1,0
KLAQU,Financial Services,Shell Companies,3,1,1
DBDRU,Financial Services,Shell Companies,3,1,0
CBNK,Financial Services,BanksÑRegional,3,1,0
TMPM,Financial Services,Shell Companies,3,1,0
SSBI,Financial Services,BanksÑRegional,3,1,0
BOTJ,Financial Services,BanksÑRegional,3,1,0
PHICU,Financial Services,Shell Companies,3,1,0
MVF,Financial Services,Asset Management,3,1,0
FEIM,Technology,Communication Equipment,3,1,0
JHAA,,,3,1,0
STWO,Financial Services,Shell Companies,3,1,0
TMTSU,Financial Services,Shell Companies,3,1,0
ADOC,Financial Services,Shell Companies,3,1,0
CKX,Energy,Oil & Gas E&P,3,1,0
SBT,Financial Services,BanksÑRegional,3,1,0
NFBK,Financial Services,BanksÑRegional,3,1,0
CFIIU,Financial Services,Shell Companies,3,1,0
PAIC,Financial Services,Shell Companies,3,1,0
PTVCA,Financial Services,InsuranceÑProperty & Casualty,3,1,0
RVPH,Healthcare,Biotechnology,3,1,0
JHI,Financial Services,Asset Management,3,1,0
LBAI,Financial Services,BanksÑRegional,3,1,0
CPAC,Basic Materials,Building Materials,3,1,0
FCACU,Financial Services,Shell Companies,3,1,0
STWOU,Financial Services,Shell Companies,3,1,0
TZPSU,Financial Services,Shell Companies,3,1,2
ZGYH,Financial Services,Shell Companies,3,1,0
HMG,Real Estate,REITÑRetail,3,1,0
FMY,Financial Services,Asset Management,3,1,0
SWETU,Financial Services,Shell Companies,3,1,1
AEACU,Financial Services,Shell Companies,3,1,1
NBA,Financial Services,Shell Companies,3,1,0
HCICU,Financial Services,Shell Companies,3,1,1
NMMC,Financial Services,Shell Companies,3,1,0
IGIC,Financial Services,InsuranceÑDiversified,3,1,0
NXQ,Financial Services,Asset Management,3,1,0
HCAR,Financial Services,Shell Companies,3,1,1
CBH,Financial Services,Asset Management,3,1,0
JTA,Financial Services,Asset Management,3,1,0
CONXU,Financial Services,Shell Companies,3,1,1
CONX,Financial Services,Shell Companies,3,1,1
NMMCU,Financial Services,Shell Companies,3,1,0
DFNS,Financial Services,Shell Companies,3,1,0
SPRQ,Financial Services,Shell Companies,3,1,2
PPGHU,Financial Services,Shell Companies,3,1,1
LAWS,Industrials,Industrial Distribution,3,2,0
VIHAU,Financial Services,Shell Companies,3,2,0
